SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,826884,OPTSTK,0,MOTILALOFS-Aug2026-910-CE,775.0,MOTILALOFS 27 AUG 910 CALL,2026-08-27 15:30:00,910.0,CE,5.0,M,OPTSTK,,MOFSOPT
BSE,D,826885,OPTSTK,0,LICHSGFIN-Aug2026-520-PE,1000.0,LICHSGFIN 27 AUG 520 PUT,2026-08-27 15:30:00,520.0,PE,5.0,M,OPTSTK,,LICHOPT
BSE,D,826886,OPTSTK,0,BHARATFORG-Aug2026-1960-PE,500.0,BHARATFORG 27 AUG 1960 PUT,2026-08-27 15:30:00,1960.0,PE,5.0,M,OPTSTK,,BHFLOPT
BSE,D,826887,OPTSTK,0,GLENMARK-Aug2026-2500-CE,375.0,GLENMARK 27 AUG 2500 CALL,2026-08-27 15:30:00,2500.0,CE,5.0,M,OPTSTK,,GLPLOPT
BSE,D,826888,OPTSTK,0,CUMMINSIND-Jul2026-5850-PE,200.0,CUMMINSIND 30 JUL 5850 PUT,2026-07-30 15:30:00,5850.0,PE,5.0,M,OPTSTK,,CUMLOPT
BSE,D,826889,OPTSTK,0,CGPOWER-Jul2026-970-CE,850.0,CGPOWER 30 JUL 970 CALL,2026-07-30 15:30:00,970.0,CE,5.0,M,OPTSTK,,CGPLOPT
BSE,D,826890,OPTSTK,0,INDUSTOWER-Aug2026-400-CE,1700.0,INDUSTOWER 27 AUG 400 CALL,2026-08-27 15:30:00,400.0,CE,5.0,M,OPTSTK,,INFROPT
BSE,D,826891,OPTSTK,0,GMRAIRPORT-Aug2026-102-CE,6975.0,GMRAIRPORT 27 AUG 102 CALL,2026-08-27 15:30:00,102.0,CE,5.0,M,OPTSTK,,GMRIOPT
BSE,D,826892,OPTSTK,0,PRESTIGE-Aug2026-1460-CE,450.0,PRESTIGE 27 AUG 1460 CALL,2026-08-27 15:30:00,1460.0,CE,5.0,M,OPTSTK,,PEPLOPT
BSE,D,826893,OPTSTK,0,RECLTD-Aug2026-335-CE,1575.0,RECLTD 27 AUG 335 CALL,2026-08-27 15:30:00,335.0,CE,5.0,M,OPTSTK,,RECLOPT
BSE,D,826894,OPTSTK,0,GODFRYPHLP-Aug2026-2400-CE,275.0,GODFRYPHLP 27 AUG 2400 CALL,2026-08-27 15:30:00,2400.0,CE,5.0,M,OPTSTK,,GDPIOPT
BSE,D,826895,OPTSTK,0,SUPREMEIND-Aug2026-3300-CE,175.0,SUPREMEIND 27 AUG 3300 CALL,2026-08-27 15:30:00,3300.0,CE,5.0,M,OPTSTK,,SUPLOPT
BSE,D,826896,OPTSTK,0,GODREJPROP-Aug2026-1720-PE,325.0,GODREJPROP 27 AUG 1720 PUT,2026-08-27 15:30:00,1720.0,PE,5.0,M,OPTSTK,,GPRLOPT
BSE,D,826897,OPTSTK,0,HDFCBANK-Aug2026-755-CE,650.0,HDFCBANK 27 AUG 755 CALL,2026-08-27 15:30:00,755.0,CE,5.0,M,OPTSTK,,HDBKOPT
BSE,D,826898,OPTSTK,0,PIIND-Aug2026-2980-CE,175.0,PIIND 27 AUG 2980 CALL,2026-08-27 15:30:00,2980.0,CE,5.0,M,OPTSTK,,PINDOPT
BSE,D,826899,OPTSTK,0,360ONE-Aug2026-1200-PE,500.0,360ONE 27 AUG 1200 PUT,2026-08-27 15:30:00,1200.0,PE,5.0,M,OPTSTK,,ONWLOPT
BSE,D,826900,OPTSTK,0,JINDALSTEL-Aug2026-1290-PE,625.0,JINDALSTEL 27 AUG 1290 PUT,2026-08-27 15:30:00,1290.0,PE,5.0,M,OPTSTK,,JSPLOPT
BSE,D,826901,OPTSTK,0,SBICARD-Aug2026-680-PE,800.0,SBICARD 27 AUG 680 PUT,2026-08-27 15:30:00,680.0,PE,5.0,M,OPTSTK,,SCPLOPT
BSE,D,826902,OPTSTK,0,GLENMARK-Aug2026-2340-CE,375.0,GLENMARK 27 AUG 2340 CALL,2026-08-27 15:30:00,2340.0,CE,5.0,M,OPTSTK,,GLPLOPT
BSE,D,826903,OPTSTK,0,VMM-Aug2026-122-PE,4850.0,VMM 27 AUG 122 PUT,2026-08-27 15:30:00,122.0,PE,5.0,M,OPTSTK,,VMMLOPT
BSE,D,826904,OPTSTK,0,PNBHOUSING-Aug2026-1150-CE,650.0,PNBHOUSING 27 AUG 1150 CALL,2026-08-27 15:30:00,1150.0,CE,5.0,M,OPTSTK,,PNHFOPT
BSE,D,826905,OPTSTK,0,ICICIPRULI-Aug2026-495-PE,925.0,ICICIPRULI 27 AUG 495 PUT,2026-08-27 15:30:00,495.0,PE,5.0,M,OPTSTK,,ICLFOPT
BSE,D,826907,OPTSTK,0,APOLLOHOSP-Aug2026-8150-CE,125.0,APOLLOHOSP 27 AUG 8150 CALL,2026-08-27 15:30:00,8150.0,CE,5.0,M,OPTSTK,,AHELOPT
BSE,D,826908,OPTSTK,0,AMBER-Aug2026-7400-PE,100.0,AMBER 27 AUG 7400 PUT,2026-08-27 15:30:00,7400.0,PE,5.0,M,OPTSTK,,AENLOPT
